z,y,x,trajectory,frame
-0.25255637044021345,0.38785013051315465,2.0704542147449656,0,0
-0.21780618386704048,0.4694753688908199,2.0650519548662305,0,1
-0.2807248907272196,0.6172023518263864,1.8551492123040272,0,2
-0.24268373130238785,0.673947539285862,1.7229401386137184,0,3
-0.05345106190194505,3.7241927933677292,-3.1532060666081505,1,0
-0.08098093574584683,3.8405209326411733,-3.098657721687742,1,1
-0.2138268458004125,3.857141593492316,-2.8827205467729398,1,2
-0.37781399767892326,3.4155008090980363,-3.2284736225418182,1,3
-0.2677489655763477,3.805628201569944,-3.1729844092273662,1,4
-0.023663388749278095,3.6490293858621565,-3.3761591378288807,1,5
-0.31109640313737114,-3.996863971456746,0.7516038087256437,2,0
0.05998299812340239,-0.0970220248835998,2.4602918684062844,3,0
-0.16815356860539238,-0.2976903576551107,2.6960907123209217,3,1
0.1760064253455626,-0.13710534894062062,2.3629356369421504,3,2
0.31978987529379654,1.3426670543429966,-2.3845168645172627,4,0
-0.03493345939295195,1.6995471115900405,-2.523531723351628,4,1
0.3406584697117149,-0.1739444218706799,2.2520124147447063,5,0
0.04719655616001124,0.41499101390170484,1.981766499854066,5,1
-0.22689887343381576,0.049178180959369926,2.1357538738373476,5,2
-0.18030887597480583,0.3260104561041823,2.3283879035674464,5,3
-0.08424971272464273,-0.5068559299392684,4.452755561210234,6,0
-0.05845269434224386,-0.545059854297111,4.32641725396059,6,1
0.2553481253842718,-0.5976249886324899,4.112296042334942,6,2
0.12912186421769004,-1.608540542409399,0.8396653006826034,7,0
0.008991670075703532,-1.812556454416471,0.4349721168283588,7,1
0.052522872336764136,-1.4374828480415403,1.027649655088833,7,2
-0.08614212367070778,-1.7615119110767379,1.4391210907879488,7,3
0.09539318636101088,-2.145800040245939,1.4045119852658885,7,4
0.35040351782164375,-1.6632445111128429,1.9260413214764969,7,5
-0.3321596940536625,4.543733772899612,-1.532539248907492,8,0
0.06726446689118129,4.701218256186257,-1.072392151804426,8,1
-0.01578640683714344,4.618412259525786,-1.0279288002031544,8,2
